EB_id,area,npix,ypix,xpix
316a6,0.02,1,151,172
20a9f4,0.02,1,150,170
e9eeb4,0.05,1,151,170
e899a7,0.03,1,148,166
ad3c21,0.02,1,153,171
d36759,0.05,1,152,169
5256fa,0.05,1,154,171
d4cf1a,0.02,1,148,166
803589,0.01,1,146,169
2c6051,0.02,1,147,169
81c723,0.01,1,149,172
5eb918,0.01,1,152,173
7e18fa,0.01,1,147,172
d5ebbf,0.02,1,150,168
c10fbe,0.05,1,150,172
ded4ea,0.02,1,152,174
a698bb,0.02,1,150,173
b273e0,0.02,1,152,173
9c06de,0.57,1,146,172
fec333,0.03,1,145,170
b7b6e0,0.02,1,146,170
728358,0.04,1,151,174
5f1265,0.02,1,149,173
7935d9,0.01,1,151,174
97d576,0.1,1,150,173
f437a3,0.02,1,148,171
7768e3,0.03,1,150,173
e07cf0,0.03,1,150,173
fd9542,0.02,1,148,171
249b2e,0.08,1,149,167
ca5eac,0.01,1,151,172
6f861,0.02,1,150,169
30268d,0.04,1,147,168
456443,0.03,1,150,170
e6553e,0.02,1,150,170
9076ec,0.03,1,151,170
c2e8e2,0.35,2,-99,-99
38add8,0.07,1,148,167
6229f5,0.02,1,153,171
f15d9c,0.05,1,150,168
38f09d,0.02,1,149,166
ddbdf0,0.01,1,153,170
1641f2,0.01,1,149,172
429c05,0.01,1,152,170
155709,0.01,1,148,167
ecce72,0.02,1,150,169
9a9928,0.07,1,146,171
fa5ed1,0.07,1,147,169
aee943,0.05,1,146,170
3e38c2,0.15,1,152,169
1020ee,0.03,1,148,168
79a2fa,0.06,1,152,173
9f8803,0.02,1,151,171
aa1f4e,0.01,1,151,172
5402b7,0.05,1,149,169
9b4dd1,0.14,1,149,170
a6c20f,0.01,1,149,169
9f0f47,0.54,1,151,170
d63f59,0.05,1,150,168
d339f5,0.03,1,150,171
b1fe90,0.06,1,148,168
8259fe,0.04,1,147,167
a3a012,0.01,1,151,170
7c4b2e,0.03,1,150,169
f0bccb,0.04,1,149,168
13819d,0.05,1,153,172
16cbf,0.03,1,151,168
e30eeb,0.02,1,150,169
2cd255,0.05,1,151,169
f8cfc5,0.44,2,-99,-99
eb71fc,0.1,1,150,168
bbfaf7,0.04,1,152,170
121814,0.27,1,151,169
940a88,0.02,1,148,166
9b7585,0.01,1,145,170
ce1eda,0.03,1,147,172
884c3f,0.01,1,151,175
f78a4b,0.01,1,152,171
f872ef,0.01,1,148,167
681208,0.01,1,150,169
ce8659,0.01,1,150,169
ba9509,0.03,1,148,168
d9c3cb,0.03,1,145,170
d0e2b9,0.21,1,147,171
a6abf8,0.02,1,149,174
f7c9f5,0.02,1,149,172
d720ce,0.31,1,151,175
44786b,0.02,1,148,171
dd591f,0.02,1,148,172
875c7c,0.02,1,150,172
db104d,0.3,1,149,172
432169,0.04,1,152,170
c8562d,0.09,1,149,167
6861ff,0.02,1,151,170
ffddbf,0.01,1,148,168
43c2d9,0.01,1,151,170
1d0cc4,0.78,1,151,170
c18e89,0.03,1,153,170
7c4c50,0.02,1,148,167
762e6f,0.01,1,148,167
9e1313,0.02,1,152,170
8c27fe,0.33,1,149,168
e1c701,0.03,1,153,171
522d51,0.01,1,148,171
9a70b8,0.03,1,148,172
4386da,0.06,1,148,170
e1ad98,0.01,1,151,174
e04e5d,0.04,1,148,167
36fd02,0.01,1,151,171
d1d121,0.04,1,151,171
c2006d,0.61,2,-99,-99
11578a,0.04,1,151,171
59ddba,0.06,1,148,167
c87008,0.03,1,150,174
cba853,0.06,1,148,167
1142a0,0.07,1,145,170
e2837a,0.02,1,147,172
21e9da,0.01,1,148,173
bd95a4,0.03,1,151,175
6132dd,0.04,1,145,170
bd1920,0.06,1,146,171
22ee2f,1.17,1,148,173
2cf29,0.01,1,145,170
2f95cd,0.03,1,148,171
ad99ae,0.02,1,150,173
5418ec,0.02,1,145,170
4ea899,0.04,1,151,174
9104e8,0.03,1,147,170
304e0a,0.02,1,150,172
d896f7,0.03,1,150,173
870938,0.23,2,-99,-99
b9efd0,0.03,1,148,172
600f1c,0.04,1,148,169
5645d,0.16,1,149,167
f29856,0.01,1,151,171
4056dc,0.01,1,151,173
de8f19,0.01,1,148,168
25c8d6,0.06,1,152,172
28bf25,0.03,1,151,171
b5c5ae,0.01,1,150,170
866795,0.05,1,149,170
93e727,0.03,1,148,168
42785,0.25,1,151,170
9a95ac,0.03,1,149,169
d8e7bf,0.04,1,149,167
94b50,0.03,1,151,170
1c62b4,0.01,1,152,169
43b63c,0.48,2,-99,-99
423004,0.04,1,150,168
dbd5a0,0.19,1,149,167
93262b,0.01,1,144,171
18f5f,0.02,1,146,169
e52f6f,0.01,1,150,169
9c69ad,0.04,1,149,173
4dac93,0.16,1,151,169
7bfe4f,0.02,1,148,173
ddf9a8,0.17,1,149,173
25b3b3,0.01,1,148,172
2fabab,0.05,1,150,175
a4cf2a,0.02,1,147,170
b4a7c,0.04,1,151,172
f806b5,0.02,1,146,170
590844,0.01,1,151,174
647013,0.01,1,146,169
7e5c32,0.04,1,150,172
1649b2,0.03,1,152,174
bca42e,0.01,1,152,174
8509ed,0.04,1,149,167
fc1c91,0.35,2,-99,-99
b7951b,0.08,1,152,173
ea2de2,0.41,1,149,170
edef23,0.02,1,150,171
f3b58b,0.01,1,152,170
8ae73,0.01,1,148,169
95bdaf,0.05,1,148,168
12222e,0.02,1,150,171
44851,0.02,1,148,169
d2c521,0.03,1,151,169
4ddf38,0.02,1,152,170
a32aa7,0.01,1,151,171
3da67c,0.02,1,151,169
8e763c,0.05,1,150,169
51fe81,0.24,1,150,169
ba7d41,0.02,1,148,166
de8e8d,0.05,1,152,169
922a3e,0.03,1,151,169
58a166,0.01,1,147,172
327056,0.01,1,148,172
d37ab3,0.04,1,146,169
b794f0,0.02,1,150,173
623d3d,0.04,1,149,172
ad8150,0.02,1,150,169
1ac953,0.01,1,151,173
90db8b,0.03,1,147,169
934dc6,0.02,1,151,173
598d09,0.01,1,150,168
a96b95,0.06,1,145,171
48ddd6,0.03,1,146,172
b09c9a,0.05,1,144,170
6fea32,0.02,1,145,170
183517,0.03,1,145,170
92fec,0.05,1,146,170
1da2b6,0.04,1,146,170
306ce,0.05,1,146,170
a1e748,0.04,1,151,174
4d3354,0.02,1,149,173
e685a0,0.07,1,147,171
9b1127,0.02,1,149,172
56108,0.02,1,150,173
b36512,0.04,1,148,170
3f7155,0.04,1,150,172
c3c38e,0.07,1,148,170
c3a24b,0.35,1,150,172
4559f,0.03,1,150,172
3eab57,0.03,1,147,169
af9cdb,0.02,1,147,168
8949ec,0.11,1,149,170
705ccb,0.01,1,148,169
d934cc,0.03,1,147,169
d719f9,0.27,1,150,170
4fcd13,0.27,1,148,169
df8f0e,0.01,1,148,169
765fc,0.02,1,153,171
134a51,0.02,1,148,166
546e12,0.02,1,149,169
7ab2ca,0.12,1,151,170
2f4967,0.02,1,150,169
982515,0.03,1,150,169
b17aa3,0.02,1,153,171
b0195a,0.04,1,151,169
7eb7bf,0.1,1,152,170
2eaa3,0.04,1,152,169
a15d57,0.01,1,145,170
541f12,0.06,1,148,170
19671b,0.1,1,149,167
3bb292,0.04,1,153,171
58cefb,0.21,1,152,170
e92496,0.01,1,152,172
f68b85,0.09,1,148,168
6c6d84,0.01,1,146,171
9c4604,0.01,1,146,172
ab4831,0.06,1,150,175
46658c,0.04,1,150,174
673662,0.02,1,145,170
9446cf,0.01,1,146,171
33e539,0.05,1,150,172
4ecbaf,0.02,1,149,172
4d92a2,0.04,1,149,174
bc8662,0.03,1,145,170
723e98,0.13,1,146,170
baf6f0,0.19,1,146,170
b6051,0.1,1,149,172
2f0859,0.01,1,151,174
147e44,0.02,1,150,173
529b79,0.02,1,147,170
4c371b,0.01,1,148,171
492d49,0.05,1,147,169
ed6d70,0.14,1,146,169
1454c1,0.01,1,153,172
29520a,0.03,1,148,168
47043,0.02,1,148,168
d04d34,0.02,1,151,172
f37f82,0.02,1,148,169
6ff0af,0.02,1,148,169
ad0b78,0.17,1,151,171
224943,0.04,1,147,167
8dbc8c,0.12,1,151,169
4ba148,0.3,1,151,168
1f0531,0.12,1,149,167
6a889c,0.03,1,150,169
f39ac4,0.01,1,149,167
612bfe,0.01,1,146,171
892c0c,0.03,1,149,172
4e1890,0.02,1,147,170
7d6951,0.02,1,151,169
9e69d7,0.01,1,150,175
932b32,0.01,1,151,172
b567a0,0.03,1,151,169
8326af,0.09,1,150,173
b20e8f,0.07,1,144,170
b1cbc7,0.01,1,147,172
c353a6,0.15,1,150,173
44d42a,0.03,1,150,173
a63844,0.01,1,150,173
6c025a,0.04,1,150,173
aa86c,0.04,1,151,174
b0b12d,0.03,1,150,173
19ff50,0.03,1,152,170
67f58e,0.05,1,151,169
9c36da,0.42,1,147,170
a0bf9a,0.02,1,150,172
7cfa8a,0.02,1,152,173
ecc6bc,0.03,1,148,169
93ff40,0.02,1,148,168
53a5d3,0.16,1,152,170
fd66cb,0.03,1,150,171
ecce75,0.01,1,148,169
ee61c6,0.02,1,150,170
4a1b7f,0.01,1,149,168
601cac,0.03,1,151,171
49d2f1,0.03,1,151,169
6825db,0.18,2,-99,-99
233095,0.04,1,150,168
675577,0.08,1,148,167
fea326,0.07,1,153,170
eeb34e,0.01,1,149,167
767803,0.18,1,148,166
3fd617,0.01,1,147,170
e8a913,0.01,1,147,169
aade14,0.09,1,145,170
25505e,0.03,1,150,175
1b2203,0.02,1,149,169
628067,0.02,1,145,171
52b07f,0.02,1,146,171
659d69,0.19,2,-99,-99
82fae1,0.04,1,147,173
a426f2,0.15,2,-99,-99
7bc6a1,0.03,1,146,171
95310b,0.02,1,147,171
19b7f,0.01,1,145,170
d8f0dc,0.01,1,148,172
c0c7eb,0.03,1,150,173
b89943,0.02,1,150,173
f47c3c,0.02,1,150,172
4de06f,0.35,2,-99,-99
fc62e9,0.01,1,152,173
563043,0.32,1,148,169
152b00,0.05,1,152,173
6f884c,0.02,1,148,169
a2e2ad,0.29,1,148,169
eb3e2c,0.1,1,148,168
42c05f,0.02,1,148,169
478d95,0.04,1,149,169
a9b640,0.15,1,150,169
b7d635,0.1,1,152,169
c26e3e,0.01,1,152,170
2f1742,0.01,1,151,169
260548,0.09,1,151,169
b0fc8a,0.03,1,148,166
44fea4,0.03,1,149,166
302185,0.02,1,144,170
f9a67e,0.01,1,146,171
2be69f,0.01,1,147,169
c24c26,0.02,1,147,170
27772b,0.01,1,146,170
2f09fb,0.02,1,147,169
b83a4a,0.01,1,147,172
e55f4f,0.01,1,152,171
504d5a,0.01,1,151,169
7d372,0.01,1,153,170
76733b,0.01,1,146,171
c86beb,0.02,1,150,168
8734a1,0.01,1,151,169
4921f6,0.03,1,146,170
3f28d,0.04,1,148,171
138a50,0.03,1,146,172
88d23e,0.04,1,149,168
ba5655,0.02,1,150,172
867e14,0.09,1,151,173
84579c,0.22,1,151,175
fdc64d,0.13,2,-99,-99
b71ffe,0.08,1,146,170
926739,0.01,1,150,168
3e6c68,0.02,1,152,174
694d0b,0.01,1,147,169
3708f1,0.77,1,148,170
6b6370,0.03,1,148,170
6292b6,0.13,1,150,168
7a275a,0.01,1,148,169
212580,0.02,1,151,172
94959e,0.32,1,150,169
dd52da,0.07,1,151,170
815ee6,0.04,1,148,167
2a98d3,0.16,1,151,170
51161e,0.05,1,152,169
a53870,0.02,1,148,167
e81f2f,0.67,1,151,170
e0a364,0.01,1,149,172
c82c4a,0.02,1,148,171
149670,0.01,1,151,168
bee301,0.04,1,146,170
459012,0.27,1,144,171
b53574,0.01,1,150,169
f67521,0.02,1,146,169
5c6038,0.02,1,145,170
652a75,0.11,1,152,172
f56fcf,0.04,1,149,173
5c632a,0.08,1,147,172
a625bf,0.04,1,148,171
6614f2,0.01,1,148,172
25d69b,0.03,1,147,170
aa1770,0.35,2,-99,-99
9a650f,0.03,1,152,170
a125f1,0.06,1,146,168
65a10f,0.08,1,147,169
3453fb,0.03,1,151,171
45db7a,0.17,1,151,171
d21a8a,0.07,1,151,170
60a65b,0.02,1,149,169
b422f4,0.01,1,151,170
e4fe0a,0.03,1,151,169
645dd2,0.06,1,152,169
fda2a,0.01,1,148,166
69ea9,0.03,1,149,167
34ae42,0.01,1,148,167
93c038,0.42,2,-99,-99
a331ad,0.07,1,151,169
cb4246,0.01,1,150,173
c944fa,0.01,1,150,173
dcc9f,0.02,1,152,173
d52acb,0.14,1,152,170
6262c9,0.4,1,150,175
a9162,0.04,1,151,175
e31dab,0.01,1,151,169
c3571a,0.08,1,145,170
ef7630,0.02,1,149,172
a0ebdd,0.04,1,150,172
c331cd,0.04,1,146,171
839b64,0.22,2,-99,-99
bc3a98,0.1,1,147,170
963d80,0.01,1,148,170
4dea2d,0.02,1,150,172
cb2386,0.03,1,148,168
9d9838,0.09,1,151,173
669fd2,0.01,1,150,170
eeaed2,0.04,1,148,169
8187a8,0.03,1,146,169
613a40,0.07,1,147,169
7679f8,0.04,1,148,169
593960,0.25,1,147,169
d170d2,0.2,1,149,169
23ccd6,0.09,1,148,167
41aba,0.03,1,152,172
6105d7,0.02,1,151,171
8adcd3,0.01,1,150,170
378a02,0.02,1,151,170
edc2a8,0.03,1,151,170
7bd6b0,0.03,1,151,170
95d012,0.17,1,151,170
6410fd,0.02,1,149,167
55cf0f,0.02,1,152,169
5f7dc0,0.03,1,148,167
70fae,0.02,1,149,167
5fd865,0.05,1,151,169
367960,0.03,1,149,167
8d4259,0.06,1,149,166
c9c53c,0.01,1,145,170
6c4891,0.03,1,145,171
85c4ca,0.06,1,148,171
ee498a,0.01,1,149,174
cbdd3e,0.01,1,151,172
928571,0.06,1,150,173
3fffdf,0.02,1,150,175
48fd2f,0.02,1,146,169
805ad0,0.1,1,147,169
b1ea16,0.04,1,152,173
34e90b,0.01,1,148,171
a41b25,0.03,1,151,172
d4a79e,0.03,1,149,172
5ab79d,0.07,1,150,173
4dc8b0,0.04,1,147,170
9d63e1,0.59,4,-99,-99
720f26,0.05,1,146,169
6b8da1,0.01,1,150,173
8fd836,0.02,1,150,172
bf5856,0.01,1,152,169
2864d5,0.01,1,147,169
e375f5,0.04,1,150,172
a61bbf,0.09,1,148,169
e9e900,0.02,1,147,169
49281a,0.26,1,148,169
94fb4c,0.03,1,150,170
6fe514,0.11,1,153,172
c405c4,0.08,1,148,167
dfd95d,0.04,1,150,168
3dfa36,0.35,1,151,169
a6b4e8,0.06,1,148,167
a508b5,0.02,1,150,168
b5dca0,0.1,1,148,166
1890c3,0.4,1,151,168
9a8bb9,0.3,1,152,173
d5a37a,0.12,1,151,170
2144bd,0.22,1,149,167
f2a78a,0.03,1,149,167
bc3e75,0.83,1,151,170
176e58,0.13,1,150,169
eb0c57,0.02,1,150,172
a58e08,0.02,1,152,173
e0a9d2,0.11,1,150,169
691299,0.19,1,150,169
3ddbda,0.16,1,150,176
788a4c,0.05,1,150,173
95370b,0.34,1,150,172
b4c86a,1.53,2,-99,-99
11be53,0.93,3,-99,-99
e213bb,0.91,1,150,169
ed7a37,1.02,1,150,169
f3dc50,2.81,1,150,173
98d294,3.32,2,-99,-99
23aba7,3.26,3,-99,-99
b5957c,0.52,1,152,173
3d0aee,2.6,1,151,169
9560c8,0.34,1,153,173
99a201,3.98,1,151,169
817d2d,0.83,1,150,172
a2d7a3,7.76,2,-99,-99
52ef12,0.96,2,-99,-99
b4db7,1.07,3,-99,-99
dd8319,12.84,2,-99,-99
4faf5,31.26,3,-99,-99
7662f3,2.63,1,149,172
f91b2f,1.54,2,-99,-99
a60408,0.83,1,151,174
6568bb,1.77,1,151,170
de9566,2.83,2,-99,-99
204ee7,0.61,1,151,170
ed0901,0.66,1,149,167
f3640c,3.87,2,-99,-99
a5329,3.07,1,145,171
672d97,2.2,1,147,168
1c5f2c,72.92,5,-99,-99
7ce692,0.63,1,150,173
ce3d10,6.95,2,-99,-99
6a5bf0,1.6,1,150,169
c25d48,2.06,2,-99,-99
f5cbc7,0.98,2,-99,-99
c1166f,0.69,1,147,172
e9caf7,1.81,1,151,170
679745,1.88,1,150,169
87feb2,0.89,2,-99,-99
3a2775,1.03,1,146,172
8112ed,0.48,1,147,169
66a8bd,0.84,1,152,174
c82d1,0.99,1,152,170
178fd,2.94,2,-99,-99
b4f263,2.38,2,-99,-99
b4d43b,0.64,1,146,169
a152e1,1.66,2,-99,-99
31a24c,139.6,9,-99,-99
411c42,1.42,1,150,172
53b6de,0.87,3,-99,-99
26f691,2.1,1,147,172
e9bb51,0.39,1,152,174
71ba77,3.67,1,147,169
8349f6,1.35,1,149,175
3e4469,0.49,2,-99,-99
195024,0.57,1,150,173
458ede,0.73,3,-99,-99
18453,1.97,2,-99,-99
1cb62,1.09,1,150,170
198762,0.8,2,-99,-99
d9dc43,0.01,1,146,169
7d09f2,0.01,1,153,170
d52cb4,0.01,1,149,169
7d5620,0.0,1,151,172
e67c4c,0.01,1,151,173
aea430,0.01,1,151,173
787812,0.01,1,150,172
66e23d,0.01,1,148,170
e245c,3.54,2,-99,-99
1cb3f3,0.01,1,151,169
df713f,0.0,1,150,170
68f92e,0.0,1,150,172
96a8be,0.01,1,151,171
d85bf3,0.0,1,150,169
1f9601,0.01,1,152,171
91c017,0.01,1,152,171
25bfbb,0.01,1,152,170
a6c983,0.01,1,150,172
566e6f,0.0,1,151,172
53c013,0.0,1,148,170
cf1897,0.01,1,149,169
fa4844,0.0,1,149,169
c6476f,0.01,1,152,172
81286a,0.0,1,150,173
ccf276,0.0,1,150,172
c00e40,0.01,1,150,176
e2dc0,0.01,1,146,169
254b16,0.01,1,152,170
31236d,0.3,1,147,170
7b4c39,0.0,1,151,171
95f17,0.01,1,149,169
8aa464,0.01,1,147,169
2383c8,0.0,1,151,170
297114,0.01,1,151,171
18100c,0.01,1,152,170
37956c,0.01,1,148,166
9eaf1c,0.01,1,148,167
c6b548,0.01,1,151,169
916684,0.01,1,151,169
f2738a,0.0,1,152,169
7edf5,0.0,1,151,169
49ed51,0.0,1,151,169
58fe4,0.01,1,148,166
24a2e5,0.0,1,149,169
b075de,0.0,1,149,169
a31599,0.0,1,149,169
306536,0.01,1,149,169
3683f7,0.01,1,146,169
6b3956,0.01,1,146,169
fde7a3,0.01,1,146,171
497c47,0.01,1,148,172
83ee1,0.01,1,148,173
b4cc41,0.01,1,146,171
3f7295,0.0,1,146,171
447076,0.0,1,146,171
47581a,0.01,1,145,170
31c560,0.0,1,147,173
d0a067,0.01,1,147,169
cdb64a,0.01,1,149,169
21c467,0.01,1,152,169
18b2ab,0.01,1,149,169
93162d,0.01,1,146,172
23169a,0.01,1,147,169
7eb0d5,0.01,1,145,170
a90c69,0.01,1,146,170
67c929,0.01,1,146,169
69611c,0.01,1,146,169
a44db1,0.01,1,146,170
e21777,0.0,1,146,170
83ae66,0.01,1,146,171
19709a,0.01,1,151,169
c22102,0.01,1,146,169
91f619,0.0,1,152,173
a972a4,0.01,1,152,170
6f5d5,0.01,1,152,170
a19e2,0.01,1,152,170
1a0d2d,0.0,1,151,171
5318a,0.01,1,148,172
4f5dfc,0.01,1,150,173
3fbf76,0.01,1,151,168
3f02e8,0.01,1,145,170
698e9a,0.0,1,146,169
115eee,0.01,1,150,172
9dbeb3,0.01,1,151,168
a1cf5c,0.0,1,152,173
9aecc4,0.0,1,151,170
9bf894,0.01,1,152,170
57f206,0.01,1,151,171
2f5b37,0.01,1,152,169
8b2bc5,0.0,1,149,169
e20c2,0.0,1,150,172
f0e3c6,0.0,1,152,172
74a12a,0.01,1,150,173
75f7fe,0.0,1,147,171
f14aaa,0.01,1,147,172
65bf28,0.0,1,149,169
6281b3,0.01,1,151,169
34eb2b,0.01,1,151,169
eba672,0.01,1,152,174
4d2e9a,0.01,1,149,169
c7d3cd,0.0,1,151,169
77c265,0.0,1,151,174
be5b18,0.0,1,148,172
35be41,0.01,1,148,172
23d4f6,0.01,1,146,169
c37c8c,0.0,1,147,168
e6bcab,0.01,1,146,171
33967d,0.01,1,150,173
fc42e0,0.01,1,148,170
ebba3,0.0,1,149,169
7a75d7,0.0,1,152,170
f21113,0.0,1,147,171
66daab,0.01,1,144,170
5b9ec3,0.01,1,145,170
630a75,0.01,1,145,170
cc8f47,0.01,1,146,172
76d9f5,0.0,1,151,169
851bf0,0.01,1,149,169
ee8243,0.01,1,147,169
b5833,0.01,1,145,171
7031ee,0.01,1,150,176
102f14,0.01,1,146,171
802420,0.01,1,152,170
87d9c0,0.01,1,148,166
3927c8,0.01,1,149,169
934e35,0.01,1,151,169
d9c3fa,0.0,1,151,172
d23d17,0.01,1,148,167
63b1c0,0.01,1,149,174
